epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.518738329410553,0.0010000000474974513,0.7676745057106018,0.518738329410553,0.518738329410553,0.6381343007087708,0.6710519194602966,0.6381343007087708,0.6381343007087708
1,0.5167601108551025,0.0010000000474974513,0.7104706764221191,0.5167601108551025,0.5167601108551025,0.6596617102622986,0.6178855299949646,0.6596617102622986,0.6596617102622986
2,0.5226948261260986,0.0010000000474974513,0.6937514543533325,0.5226948261260986,0.5226948261260986,0.7232188582420349,0.5493319034576416,0.7232188582420349,0.7232188582420349
3,0.5259918570518494,0.0010000000474974513,0.6865498423576355,0.5259918570518494,0.5259918570518494,0.6309584975242615,0.6221515536308289,0.6309584975242615,0.6309584975242615
4,0.5177491903305054,0.0010000000474974513,0.6886906027793884,0.5177491903305054,0.5177491903305054,0.6904151439666748,0.594219446182251,0.6904151439666748,0.6904151439666748
5,0.5201670527458191,0.0010000000474974513,0.6863559484481812,0.5201670527458191,0.5201670527458191,0.7237313985824585,0.5566534399986267,0.7237313985824585,0.7237313985824585
6,0.5428069233894348,0.0010000000474974513,0.6772783398628235,0.5428069233894348,0.5428069233894348,0.7037416696548462,0.5838304758071899,0.7037416696548462,0.7037416696548462
7,0.5385206937789917,0.0010000000474974513,0.6762593984603882,0.5385206937789917,0.5385206937789917,0.7611481547355652,0.5328203439712524,0.7611481547355652,0.7611481547355652
8,0.5429167747497559,0.0010000000474974513,0.6771301031112671,0.5429167747497559,0.5429167747497559,0.7585853338241577,0.5426183938980103,0.7585853338241577,0.7585853338241577
9,0.5407187342643738,0.0010000000474974513,0.6738853454589844,0.5407187342643738,0.5407187342643738,0.7375704646110535,0.5433792471885681,0.7375704646110535,0.7375704646110535
10,0.5429167747497559,0.0010000000474974513,0.6727489829063416,0.5429167747497559,0.5429167747497559,0.7744746208190918,0.534955620765686,0.7744746208190918,0.7744746208190918
11,0.543466329574585,0.0010000000474974513,0.6707480549812317,0.543466329574585,0.543466329574585,0.7626857757568359,0.47141262888908386,0.7626857757568359,0.7626857757568359
12,0.5492911338806152,0.0010000000474974513,0.6711487174034119,0.5492911338806152,0.5492911338806152,0.7432085871696472,0.5310170650482178,0.7432085871696472,0.7432085871696472
13,0.5448950529098511,0.0010000000474974513,0.6712126135826111,0.5448950529098511,0.5448950529098511,0.8006150722503662,0.47600337862968445,0.8006150722503662,0.8006150722503662
14,0.5477524995803833,0.0010000000474974513,0.6685675978660583,0.5477524995803833,0.5477524995803833,0.809328556060791,0.47706007957458496,0.809328556060791,0.809328556060791
15,0.5519287586212158,0.0010000000474974513,0.6684460043907166,0.5519287586212158,0.5519287586212158,0.819067120552063,0.46830493211746216,0.819067120552063,0.819067120552063
16,0.5513792634010315,0.0010000000474974513,0.6661444306373596,0.5513792634010315,0.5513792634010315,0.8088160157203674,0.46512511372566223,0.8088160157203674,0.8088160157203674
17,0.5653368234634399,0.0010000000474974513,0.6601916551589966,0.5653368234634399,0.5653368234634399,0.7908764481544495,0.47434869408607483,0.7908764481544495,0.7908764481544495
18,0.5500604510307312,0.0010000000474974513,0.6643009781837463,0.5500604510307312,0.5500604510307312,0.80625319480896,0.4610193371772766,0.80625319480896,0.80625319480896
19,0.557643711566925,0.0010000000474974513,0.6664969325065613,0.557643711566925,0.557643711566925,0.8226550221443176,0.4626999497413635,0.8226550221443176,0.8226550221443176
20,0.5508297681808472,0.0010000000474974513,0.6674840450286865,0.5508297681808472,0.5508297681808472,0.8441824913024902,0.44276314973831177,0.8441824913024902,0.8441824913024902
21,0.5518189072608948,0.0010000000474974513,0.6645989418029785,0.5518189072608948,0.5518189072608948,0.8334187865257263,0.440835177898407,0.8334187865257263,0.8334187865257263
22,0.551708996295929,0.0010000000474974513,0.6632677316665649,0.551708996295929,0.551708996295929,0.8421322107315063,0.43352723121643066,0.8421322107315063,0.8421322107315063
23,0.5499505400657654,0.0010000000474974513,0.6656678915023804,0.5499505400657654,0.5499505400657654,0.8129164576530457,0.43948858976364136,0.8129164576530457,0.8129164576530457
24,0.5534673929214478,0.0010000000474974513,0.663414716720581,0.5534673929214478,0.5534673929214478,0.837006688117981,0.43211719393730164,0.837006688117981,0.837006688117981
25,0.5603912472724915,0.0010000000474974513,0.6606603264808655,0.5603912472724915,0.5603912472724915,0.8339313268661499,0.3921572268009186,0.8339313268661499,0.8339313268661499
26,0.5581932067871094,0.0010000000474974513,0.6620784401893616,0.5581932067871094,0.5581932067871094,0.8098410964012146,0.45104414224624634,0.8098410964012146,0.8098410964012146
27,0.5550060272216797,0.0010000000474974513,0.6642769575119019,0.5550060272216797,0.5550060272216797,0.8139415979385376,0.4536226987838745,0.8139415979385376,0.8139415979385376
28,0.5612704753875732,0.0010000000474974513,0.6606956720352173,0.5612704753875732,0.5612704753875732,0.8267555236816406,0.43863368034362793,0.8267555236816406,0.8267555236816406
29,0.5543466210365295,0.0010000000474974513,0.6635307669639587,0.5543466210365295,0.5543466210365295,0.8411071300506592,0.39497897028923035,0.8411071300506592,0.8411071300506592
30,0.5598417520523071,0.0010000000474974513,0.661323070526123,0.5598417520523071,0.5598417520523071,0.8267555236816406,0.4430615305900574,0.8267555236816406,0.8267555236816406
