epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.36787641048431396,9.999999747378752e-06,1.2377245426177979,0.7498020529747009,0.14202159643173218,0.7524475455284119,0.6544910073280334,0.8004826903343201,0.6958041787147522
1,0.362777441740036,9.999999747378752e-06,1.2288047075271606,0.7599388360977173,0.14907018840312958,0.6629370450973511,0.9036288857460022,0.7101449370384216,0.6167832016944885
2,0.38602280616760254,9.999999747378752e-06,1.2186630964279175,0.7659420371055603,0.15851829946041107,0.7202796936035156,0.7812080979347229,0.7460691928863525,0.6636363863945007
3,0.37642472982406616,9.999999747378752e-06,1.2203370332717896,0.7900382876396179,0.15461908280849457,0.6783216595649719,0.8708387017250061,0.7136113047599792,0.6342657208442688
4,0.3767246603965759,9.999999747378752e-06,1.2296395301818848,0.7741194367408752,0.15161967277526855,0.7580419778823853,0.6523573398590088,0.7947284579277039,0.6958041787147522
5,0.3771745562553406,9.999999747378752e-06,1.2209150791168213,0.7753846049308777,0.1511697620153427,0.7398601174354553,0.687174916267395,0.7679687738418579,0.6874125599861145
6,0.37822434306144714,9.999999747378752e-06,1.2114953994750977,0.7797101736068726,0.161367729306221,0.722377598285675,0.8076454401016235,0.7421092987060547,0.6741258502006531
7,0.3801739513874054,9.999999747378752e-06,1.209354281425476,0.781751811504364,0.1606178730726242,0.7209790349006653,0.7782215476036072,0.7543444037437439,0.6678321957588196
8,0.38497301936149597,9.999999747378752e-06,1.1998244524002075,0.8058321475982666,0.16991601884365082,0.7349650263786316,0.7257656455039978,0.7674784064292908,0.6832168102264404
9,0.37492501735687256,9.999999747378752e-06,1.2210105657577515,0.7740422487258911,0.14847031235694885,0.725874125957489,0.7247209548950195,0.761829674243927,0.6755244731903076
10,0.381673663854599,4.999999873689376e-06,1.2045952081680298,0.8063781261444092,0.15926814079284668,0.7881118655204773,0.6271581053733826,0.8176838755607605,0.7307692170143127
11,0.3771745562553406,4.999999873689376e-06,1.2146226167678833,0.7880597114562988,0.158368319272995,0.7860139608383179,0.6017268300056458,0.8254716992378235,0.7342657446861267
12,0.3752249479293823,4.999999873689376e-06,1.2125979661941528,0.7938066720962524,0.1576184779405594,0.7881118655204773,0.5968553423881531,0.8254460692405701,0.7440559267997742
13,0.38737252354621887,4.999999873689376e-06,1.1824644804000854,0.8237384557723999,0.17381523549556732,0.7734265923500061,0.6263499855995178,0.8050652146339417,0.7335664629936218
14,0.3783743381500244,4.999999873689376e-06,1.2042450904846191,0.7884755730628967,0.16211757063865662,0.8083916306495667,0.5228167176246643,0.8415384888648987,0.7650349736213684
15,0.3818236291408539,4.999999873689376e-06,1.2038079500198364,0.7915142774581909,0.1622675508260727,0.8237762451171875,0.5023125410079956,0.8443936109542847,0.774125874042511
16,0.381673663854599,4.999999873689376e-06,1.1929314136505127,0.7998595237731934,0.1708158403635025,0.7524475455284119,0.704014003276825,0.7866563200950623,0.7090908885002136
17,0.3998200297355652,4.999999873689376e-06,1.1889736652374268,0.8066712021827698,0.17771445214748383,0.796503484249115,0.5500586628913879,0.8297709822654724,0.7601398825645447
18,0.3863227367401123,4.999999873689376e-06,1.204321265220642,0.7883008122444153,0.16976605355739594,0.7902097702026367,0.5743522644042969,0.8256173133850098,0.748251736164093
19,0.39142170548439026,4.999999873689376e-06,1.1947848796844482,0.8028070330619812,0.1715656816959381,0.8006992936134338,0.5506945848464966,0.8343605399131775,0.7573426365852356
20,0.3908218443393707,4.999999873689376e-06,1.1877552270889282,0.803122878074646,0.17741452157497406,0.8356643319129944,0.4725565016269684,0.8630451560020447,0.788811206817627
21,0.39442113041877747,4.999999873689376e-06,1.180565595626831,0.8020833134651184,0.18476304411888123,0.796503484249115,0.5719538927078247,0.8253846168518066,0.7503496408462524
22,0.3924714922904968,4.999999873689376e-06,1.190779209136963,0.8092605471611023,0.1756148785352707,0.8349650502204895,0.49790388345718384,0.8630451560020447,0.788811206817627
23,0.3831733763217926,4.999999873689376e-06,1.194747805595398,0.8099352121353149,0.16871625185012817,0.8237762451171875,0.5187281966209412,0.848254919052124,0.7818182110786438
24,0.3933713138103485,4.999999873689376e-06,1.19218909740448,0.7982276678085327,0.1756148785352707,0.8097901940345764,0.5463564395904541,0.8396591544151306,0.7580419778823853
25,0.39457109570503235,4.999999873689376e-06,1.1902304887771606,0.8068965673446655,0.1754649132490158,0.774125874042511,0.5920476317405701,0.8127398490905762,0.740559458732605
26,0.3974205255508423,2.499999936844688e-06,1.187196135520935,0.8033444881439209,0.18011397123336792,0.800000011920929,0.5557854771614075,0.8355111479759216,0.7601398825645447
27,0.3941211700439453,2.499999936844688e-06,1.186991810798645,0.8001364469528198,0.17591482400894165,0.8048951029777527,0.5411350727081299,0.8283295035362244,0.7524475455284119
28,0.3911217749118805,2.499999936844688e-06,1.1795541048049927,0.8216253519058228,0.17891421914100647,0.8251748085021973,0.49152013659477234,0.8496583104133606,0.7825174927711487
29,0.3972705602645874,2.499999936844688e-06,1.185139775276184,0.8119601607322693,0.18326334655284882,0.8132867217063904,0.5305532813072205,0.8444957733154297,0.7671328783035278
